
fips,county,copd_rate,diabetes_rate,hypertension_rate,obesity_rate,county_full,population,poverty_rate,unemployment_rate,no_hs_diploma_rate,uninsured_rate,no_vehicle_rate,svi_score
28001,Adams,11.0,20.6,51.7,41.2,Adams,29425,41.5,7.1,17.5,12.7,8.6,0.8025
28003,Alcorn,9.9,15.0,45.7,40.0,Alcorn,34717,32.2,6.4,18.1,13.6,7.7,0.5432
28005,Amite,12.2,20.6,52.4,45.0,Amite,12683,38.0,7.5,12.5,11.4,7.6,0.4691
28007,Attala,9.8,16.9,48.4,42.6,Attala,17842,36.4,7.2,15.9,9.9,8.1,0.6914
28009,Benton,10.2,17.4,48.3,42.4,Benton,7637,30.7,4.4,22.0,13.8,6.3,0.4321
28011,Bolivar,10.7,20.5,51.9,46.5,Bolivar,30688,47.1,7.4,17.8,14.6,10.8,0.9259
28013,Calhoun,11.4,18.2,49.0,41.1,Calhoun,13193,34.4,4.2,21.7,11.5,7.5,0.5926
28015,Carroll,11.3,18.6,50.1,40.0,Carroll,9930,36.1,6.0,21.2,7.5,5.1,0.2469
28017,Chickasaw,10.6,18.4,47.8,43.3,Chickasaw,17024,35.5,3.1,24.0,10.6,9.5,0.7654
28019,Choctaw,9.7,16.9,47.9,40.2,Choctaw,8208,31.4,7.3,13.1,12.4,5.8,0.1975
28021,Claiborne,9.8,20.4,51.2,47.8,Claiborne,9044,49.0,9.0,17.9,19.5,12.0,0.7284
28023,Clarke,10.6,17.8,49.5,38.6,Clarke,15553,32.1,5.6,14.3,14.0,6.8,0.3827
28025,Clay,10.3,19.1,50.5,47.6,Clay,18598,36.7,8.9,18.3,11.5,8.0,0.5062
28027,Coahoma,11.1,21.8,53.4,46.4,Coahoma,21264,49.3,10.8,18.7,13.4,12.0,0.9506
28029,Copiah,9.7,18.2,48.6,41.8,Copiah,28210,35.4,5.2,15.1,14.4,7.4,0.4568
28031,Covington,9.1,15.6,46.3,40.4,Covington,18323,35.1,5.8,17.1,9.9,6.5,0.284
28033,DeSoto,6.2,12.4,40.0,37.3,DeSoto,186214,17.1,4.4,8.8,8.9,3.7,0.0617
28035,Forrest,7.4,13.1,39.5,35.8,Forrest,77917,34.9,7.4,10.5,11.4,8.0,0.6173
28037,Franklin,11.3,18.5,50.3,40.4,Franklin,7690,37.9,2.6,15.7,10.9,3.3,0.1605
28039,George,8.7,13.1,39.8,37.2,George,24547,32.7,10.4,14.0,13.6,6.1,0.4198
28041,Greene,8.8,14.0,43.1,41.9,Greene,13672,27.8,12.6,18.9,14.1,7.2,0.4444
28043,Grenada,9.9,17.6,48.2,46.1,Grenada,21474,34.9,4.1,18.0,12.8,6.9,0.4815
28045,Hancock,8.8,14.3,43.3,37.3,Hancock,46010,24.3,6.2,9.6,10.3,3.8,0.037
28047,Harrison,8.0,14.1,42.3,36.5,Harrison,208748,27.5,8.4,10.9,14.1,5.9,0.5679
28049,Hinds,7.7,17.0,47.9,44.0,Hinds,226541,33.6,7.8,11.1,12.5,7.2,0.6543
28051,Holmes,11.6,23.3,55.3,50.7,Holmes,16848,50.3,8.8,19.0,12.1,15.1,0.963
28053,Humphreys,13.4,24.7,57.3,52.4,Humphreys,7744,56.5,13.7,25.2,15.5,12.2,1.0
28055,Issaquena,9.5,16.4,46.1,45.3,Issaquena,1206,33.5,12.1,35.7,12.8,17.3,0.9012
28057,Itawamba,8.2,12.2,40.0,36.2,Itawamba,23888,21.8,2.8,14.8,10.5,3.8,0.0
28059,Jackson,7.7,15.0,45.0,40.7,Jackson,143721,25.4,8.1,11.3,12.9,4.5,0.3704
28061,Jasper,10.0,19.0,50.6,44.9,Jasper,16320,32.4,3.8,11.4,11.3,9.4,0.1358
28063,Jefferson,11.5,23.6,57.1,51.5,Jefferson,7207,50.6,5.4,24.1,11.3,5.8,0.7901
28065,Jefferson Davis,11.6,21.8,54.8,45.4,Jefferson Davis,11291,37.7,9.2,14.5,12.7,7.0,0.5556
28067,Jones,9.3,16.0,46.5,41.6,Jones,67152,32.3,3.7,13.9,11.0,6.0,0.2716
28069,Kemper,9.5,18.4,49.9,43.7,Kemper,8980,33.1,14.1,20.0,14.8,4.9,0.8642
28071,Lafayette,6.2,10.9,34.1,34.4,Lafayette,56172,31.5,2.8,8.2,9.1,5.9,0.0247
28073,Lamar,7.1,12.4,40.5,38.7,Lamar,64425,24.1,5.8,8.8,12.7,4.5,0.0864
28075,Lauderdale,9.7,16.7,47.5,42.1,Lauderdale,72741,36.1,5.5,15.8,9.9,9.8,0.6667
28077,Lawrence,11.8,18.8,50.2,46.3,Lawrence,11933,39.0,12.0,17.1,13.9,5.3,0.642
28079,Leake,9.7,17.0,47.9,42.8,Leake,21335,34.6,6.0,18.7,15.9,8.9,0.7778
28081,Lee,7.3,13.9,44.3,36.4,Lee,83343,21.8,5.6,12.7,11.2,4.9,0.2346
28083,Leflore,10.6,20.9,51.5,43.4,Leflore,27920,48.8,11.8,16.8,14.4,12.9,0.8889
28085,Lincoln,9.2,15.7,45.3,40.5,Lincoln,34855,30.9,4.3,12.7,13.9,4.4,0.1111
28087,Lowndes,8.0,15.5,45.1,37.5,Lowndes,58547,29.5,6.2,12.0,10.6,6.8,0.2222
28089,Madison,5.8,12.4,40.3,36.3,Madison,109257,16.6,4.2,7.4,7.4,3.7,0.0494
28091,Marion,10.6,17.2,48.0,43.5,Marion,24362,39.5,9.5,17.2,15.7,5.8,0.679
