county_name,risk_rank,composite_risk_score,diabetes_rate,obesity_rate,hypertension_rate,svi_score,poverty_rate,primary_risk_driver
Humphreys,1,0.9822,24.7,52.4,57.3,1.0,56.5,High obesity prevalence
Sharkey,2,0.9599,25.2,50.3,58.4,0.9383,49.1,High diabetes prevalence
Holmes,3,0.8894,23.3,50.7,55.3,0.963,50.3,High social vulnerability
Jefferson,4,0.8739,23.6,51.5,57.1,0.7901,50.6,High obesity prevalence
Quitman,5,0.8649,22.8,51.2,54.8,0.8519,47.8,High obesity prevalence
Tunica,6,0.8121,21.4,51.0,52.8,0.8765,48.7,High obesity prevalence
Coahoma,7,0.7901,21.8,46.4,53.4,0.9506,49.3,High social vulnerability
Washington,8,0.7651,21.0,44.2,53.9,0.9877,43.2,High social vulnerability
Noxubee,9,0.7592,21.2,46.4,52.2,0.9136,37.2,High social vulnerability
Yazoo,10,0.7468,18.5,50.5,49.5,0.9753,42.0,High social vulnerability
Bolivar,11,0.7447,20.5,46.5,51.9,0.9259,47.1,High social vulnerability
Leflore,12,0.7034,20.9,43.4,51.5,0.8889,48.8,High social vulnerability
Sunflower,13,0.7022,19.3,48.6,50.4,0.8272,41.8,High social vulnerability
Jefferson Davis,14,0.6984,21.8,45.4,54.8,0.5556,37.7,High hypertension prevalence
Claiborne,15,0.6904,20.4,47.8,51.2,0.7284,49.0,High obesity prevalence
Pike,16,0.673,18.9,46.0,50.2,0.8395,40.8,High social vulnerability
Wilkinson,17,0.6633,20.6,47.4,52.9,0.5309,41.3,High hypertension prevalence
Adams,18,0.659,20.6,41.2,51.7,0.8025,41.5,High social vulnerability
Tallahatchie,19,0.6547,18.9,44.9,50.7,0.8148,40.0,High social vulnerability
Montgomery,20,0.6528,19.6,43.5,51.2,0.7407,42.9,High social vulnerability
Lawrence,21,0.6423,18.8,46.3,50.2,0.642,39.0,High COPD prevalence
Amite,22,0.6395,20.6,45.0,52.4,0.4691,38.0,High COPD prevalence
Kemper,23,0.6292,18.4,43.7,49.9,0.8642,33.1,High social vulnerability
Clay,24,0.6108,19.1,47.6,50.5,0.5062,36.7,High obesity prevalence
Chickasaw,25,0.5973,18.4,43.3,47.8,0.7654,35.5,High social vulnerability
Panola,26,0.5971,18.4,46.3,48.6,0.6049,37.1,High obesity prevalence
Issaquena,27,0.59,16.4,45.3,46.1,0.9012,33.5,High social vulnerability
Scott,28,0.5832,18.3,43.4,46.7,0.7531,40.7,High social vulnerability
Wayne,29,0.5819,17.8,44.2,47.7,0.7037,35.1,High social vulnerability
Leake,30,0.5593,17.0,42.8,47.9,0.7778,34.6,High social vulnerability
Marion,31,0.5586,17.2,43.5,48.0,0.679,39.5,High social vulnerability
Walthall,32,0.5504,17.8,43.1,49.6,0.5802,34.6,High hypertension prevalence
Calhoun,33,0.5465,18.2,41.1,49.0,0.5926,34.4,High COPD prevalence
Attala,34,0.5392,16.9,42.6,48.4,0.6914,36.4,High social vulnerability
Grenada,35,0.5375,17.6,46.1,48.2,0.4815,34.9,High obesity prevalence
Winston,36,0.5361,19.5,41.7,50.8,0.3951,35.2,High hypertension prevalence
Marshall,37,0.5266,18.5,41.9,49.3,0.4938,32.6,High hypertension prevalence
Neshoba,38,0.5189,16.5,43.1,44.4,0.716,40.5,High social vulnerability
Hinds,39,0.5155,17.0,44.0,47.9,0.6543,33.6,High social vulnerability
Lauderdale,40,0.5152,16.7,42.1,47.5,0.6667,36.1,High social vulnerability
Copiah,41,0.4947,18.2,41.8,48.6,0.4568,35.4,High hypertension prevalence
